日付,USDJPY終値,USDJPY始値,USDJPY高値,USDJPY安値,USDJPY前日比%
2019年1月24日,109.64,109.58,109.81,109.42,0.04%
2019年1月23日,109.6,109.37,110,109.32,0.20%
2019年1月22日,109.38,109.67,109.7,109.14,-0.26%
2019年1月21日,109.67,109.75,109.77,109.47,-0.10%
2019年1月18日,109.78,109.27,109.89,109.06,0.49%
2019年1月17日,109.24,109.09,109.4,108.68,0.14%
2019年1月16日,109.09,108.69,109.2,108.38,0.39%
2019年1月15日,108.67,108.16,108.77,108.13,0.46%
2019年1月14日,108.17,108.47,108.56,107.97,-0.35%
2019年1月11日,108.55,108.43,108.6,108.14,0.12%
2019年1月10日,108.42,108.16,108.52,107.77,0.23%
2019年1月9日,108.17,108.75,109,107.97,-0.53%
2019年1月8日,108.75,108.72,109.09,108.44,0.03%
2019年1月7日,108.72,108.55,108.75,108.03,0.18%
2019年1月4日,108.53,107.67,108.59,107.51,0.80%
2019年1月3日,107.67,108.89,108.92,104.97,-1.11%
2019年1月2日,108.88,109.67,109.73,108.71,-0.77%
2019年1月1日,109.72,109.57,109.79,109.57,0.13%
2018年12月31日,109.58,110.44,110.48,109.55,-0.63%
2018年12月28日,110.28,110.97,111.06,110.14,-0.65%
2018年12月27日,111,111.38,111.39,110.45,-0.32%
2018年12月26日,111.36,110.31,111.42,110.14,0.98%
2018年12月25日,110.28,110.44,110.47,110,-0.15%
2018年12月24日,110.45,110.95,111.21,110.27,-0.69%
2018年12月21日,111.22,111.3,111.47,110.94,-0.05%
2018年12月20日,111.28,112.47,112.61,110.81,-1.07%
2018年12月19日,112.48,112.52,112.66,112.09,-0.04%
2018年12月18日,112.53,112.83,112.88,112.25,-0.27%
2018年12月17日,112.83,113.32,113.53,112.68,-0.49%
2018年12月14日,113.39,113.64,113.69,113.22,-0.22%
2018年12月13日,113.64,113.28,113.72,113.2,0.32%
2018年12月12日,113.28,113.39,113.53,113.14,-0.10%
2018年12月11日,113.39,113.33,113.47,113,0.04%
2018年12月10日,113.34,112.7,113.38,112.25,0.54%
2018年12月7日,112.73,112.67,112.94,112.55,0.05%
2018年12月6日,112.67,113.19,113.22,112.22,-0.46%
2018年12月5日,113.19,112.77,113.25,112.64,0.36%
2018年12月4日,112.78,113.66,113.67,112.58,-0.78%
2018年12月3日,113.67,113.47,113.86,113.38,0.18%
2018年11月30日,113.47,113.5,113.72,113.33,-0.01%
2018年11月29日,113.48,113.69,113.69,113.19,-0.18%
2018年11月28日,113.69,113.78,114.03,113.44,-0.08%
2018年11月27日,113.78,113.58,113.85,113.41,0.17%
2018年11月26日,113.59,112.94,113.64,112.86,0.57%
2018年11月23日,112.95,112.94,113.02,112.64,0.01%
2018年11月22日,112.94,113.05,113.14,112.86,-0.11%
2018年11月21日,113.06,112.77,113.14,112.61,0.26%
2018年11月20日,112.77,112.56,112.84,112.31,0.19%
2018年11月19日,112.56,112.83,112.89,112.42,-0.24%
2018年11月16日,112.83,113.64,113.66,112.64,-0.71%
2018年11月15日,113.64,113.62,113.72,113.11,0.02%
2018年11月14日,113.62,113.81,114.02,113.3,-0.17%
